Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,500ms
Total data points,4474      
Trigger,0         
Start time,2021-03-25,09:32:01
End time,2021-03-25,10:09:18
Trigger time,2021-03-25,09:32:01
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],30,23,1,0
CH8," CH 8","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,0,17,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
NO.,Time,ms,"degC","degC","degC","degC","degC","degC","degC","degC","A1234567890","AO1234"
         1,2021/03/25 09:32:01,  0,+  22.6,+  22.9,+  22.0,+  22.3,+  21.8,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
         2,2021/03/25 09:32:01,500,+  22.6,+  22.9,+  22.0,+  22.2,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
         3,2021/03/25 09:32:02,  0,+  22.6,+  22.9,+  22.0,+  22.3,+  21.7,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
         4,2021/03/25 09:32:02,500,+  22.6,+  22.9,+  22.0,+  22.3,+  21.8,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
         5,2021/03/25 09:32:03,  0,+  22.6,+  22.9,+  22.0,+  22.3,+  21.7,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
         6,2021/03/25 09:32:03,500,+  22.6,+  22.9,+  22.0,+  22.3,+  21.8,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
         7,2021/03/25 09:32:04,  0,+  22.6,+  22.9,+  22.0,+  22.3,+  21.7,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
         8,2021/03/25 09:32:04,500,+  22.6,+  22.9,+  22.0,+  22.3,+  21.8,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
         9,2021/03/25 09:32:05,  0,+  22.6,+  22.9,+  22.0,+  22.3,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        10,2021/03/25 09:32:05,500,+  22.7,+  22.9,+  22.0,+  22.3,+  21.7,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
        11,2021/03/25 09:32:06,  0,+  22.6,+  22.9,+  22.0,+  22.2,+  21.8,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
        12,2021/03/25 09:32:06,500,+  22.6,+  22.9,+  22.0,+  22.3,+  21.8,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        13,2021/03/25 09:32:07,  0,+  22.7,+  22.9,+  22.0,+  22.3,+  21.8,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
        14,2021/03/25 09:32:07,500,+  22.6,+  22.9,+  22.0,+  22.2,+  21.7,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
        15,2021/03/25 09:32:08,  0,+  22.6,+  22.9,+  22.0,+  22.3,+  21.8,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
        16,2021/03/25 09:32:08,500,+  22.6,+  22.9,+  22.0,+  22.2,+  21.7,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
        17,2021/03/25 09:32:09,  0,+  22.6,+  22.9,+  22.0,+  22.2,+  21.8,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
        18,2021/03/25 09:32:09,500,+  22.6,+  22.9,+  22.0,+  22.2,+  21.8,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        19,2021/03/25 09:32:10,  0,+  22.6,+  22.9,+  22.0,+  22.1,+  21.8,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
        20,2021/03/25 09:32:10,500,+  22.6,+  22.9,+  22.0,+  22.2,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        21,2021/03/25 09:32:11,  0,+  22.6,+  22.9,+  22.0,+  22.2,+  21.8,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
        22,2021/03/25 09:32:11,500,+  22.6,+  22.9,+  22.0,+  22.2,+  21.8,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
        23,2021/03/25 09:32:12,  0,+  22.6,+  22.9,+  22.0,+  22.1,+  21.8,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        24,2021/03/25 09:32:12,500,+  22.6,+  22.9,+  22.0,+  22.1,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        25,2021/03/25 09:32:13,  0,+  22.6,+  22.9,+  22.0,+  22.1,+  21.8,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
        26,2021/03/25 09:32:13,500,+  22.6,+  22.9,+  22.0,+  22.2,+  21.8,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        27,2021/03/25 09:32:14,  0,+  22.6,+  22.9,+  22.0,+  22.1,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        28,2021/03/25 09:32:14,500,+  22.6,+  22.9,+  22.0,+  22.2,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        29,2021/03/25 09:32:15,  0,+  22.6,+  22.9,+  22.0,+  22.2,+  21.8,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        30,2021/03/25 09:32:15,500,+  22.5,+  22.9,+  22.0,+  22.1,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        31,2021/03/25 09:32:16,  0,+  22.6,+  22.9,+  22.0,+  22.2,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        32,2021/03/25 09:32:16,500,+  22.6,+  22.9,+  22.0,+  22.2,+  21.8,+  22.3,+  23.0,+  23.1,LLLLLLLLLL,LLLL
        33,2021/03/25 09:32:17,  0,+  22.5,+  22.9,+  22.0,+  22.1,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        34,2021/03/25 09:32:17,500,+  22.5,+  22.9,+  22.0,+  22.2,+  21.8,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        35,2021/03/25 09:32:18,  0,+  22.6,+  22.9,+  22.0,+  22.2,+  21.7,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
        36,2021/03/25 09:32:18,500,+  22.6,+  22.9,+  22.0,+  22.2,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        37,2021/03/25 09:32:19,  0,+  22.6,+  22.9,+  22.0,+  22.3,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        38,2021/03/25 09:32:19,500,+  22.6,+  22.9,+  22.0,+  22.2,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        39,2021/03/25 09:32:20,  0,+  22.6,+  22.9,+  22.0,+  22.2,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        40,2021/03/25 09:32:20,500,+  22.6,+  22.9,+  22.0,+  22.3,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        41,2021/03/25 09:32:21,  0,+  22.5,+  22.9,+  22.0,+  22.2,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        42,2021/03/25 09:32:21,500,+  22.6,+  22.9,+  22.0,+  22.2,+  21.7,+  22.3,+  23.1,+  23.2,LLLLLLLLLL,LLLL
        43,2021/03/25 09:32:22,  0,+  22.5,+  22.9,+  22.0,+  22.3,+  21.7,+  22.3,+  23.1,+  23.1,LLLLLLLLLL,LLLL
        44,2021/03/25 09:32:22,500,+  22.5,+  22.9,+  22.0,+  22.2,+  21.8,+  22.3,+  23.1,+  23.3,LLLLLLLLLL,LLLL
